timestamp,pod_name,cpu(m),memory(Mi),node
2026-03-31 19:04:43,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:04:43,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:04:53,load-generator,809m,5Mi,minikube
2026-03-31 19:04:53,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:04:53,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:04:53,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:01,load-generator,809m,5Mi,minikube
2026-03-31 19:05:01,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:01,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:05:01,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:08,load-generator,809m,5Mi,minikube
2026-03-31 19:05:08,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:08,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:05:08,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:15,load-generator,809m,5Mi,minikube
2026-03-31 19:05:15,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:15,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:05:15,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:26,load-generator,809m,5Mi,minikube
2026-03-31 19:05:26,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:26,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:05:26,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:34,load-generator,809m,5Mi,minikube
2026-03-31 19:05:34,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:34,nginx-deployment-65f54b4ccf-pqnks,33m,13Mi,minikube
2026-03-31 19:05:34,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
2026-03-31 19:05:41,load-generator,807m,5Mi,minikube
2026-03-31 19:05:41,nginx-deployment-65f54b4ccf-cdpps,33m,13Mi,minikube
2026-03-31 19:05:41,nginx-deployment-65f54b4ccf-pqnks,34m,13Mi,minikube
2026-03-31 19:05:41,nginx-deployment-65f54b4ccf-tzbqb,33m,13Mi,minikube
