2026-04-22 05:56:07.886827,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:07.886837,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:07.886849,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:07.886859,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:07.886868,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:07.886877,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:07.886884,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:07.886893,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:07.886900,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:07.886909,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:07.886918,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:07.886927,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:07.886934,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:07.886941,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:14.095821,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:14.095857,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:14.095871,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:56:14.095882,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:14.095895,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:14.095907,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:14.095919,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:14.095929,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:14.095938,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:14.095948,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:14.095957,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:14.095967,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:14.095978,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:14.095988,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:14.095997,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:14.096007,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:14.096017,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:20.446933,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:20.446968,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:20.446980,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:56:20.446993,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:20.447005,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:20.447016,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:20.447027,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:20.447133,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:20.447170,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:20.447181,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:20.447190,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:20.447200,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:20.447210,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:20.447220,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:20.447229,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:20.447240,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:20.447249,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:26.629080,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:26.629116,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:26.629129,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:56:26.629140,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:26.629152,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:26.629164,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:26.629174,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:26.629184,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:26.629194,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:26.629203,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:26.629213,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:26.629223,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:26.629233,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:26.629314,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:26.629325,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:26.629334,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:26.629342,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:33.047034,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:33.047071,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:33.047084,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:56:33.047096,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:33.047108,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:33.047121,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:33.047132,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:33.047142,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:33.047152,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:33.047161,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:33.047171,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:33.047181,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:33.047190,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:33.047200,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:33.047210,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:33.047219,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:33.047229,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:42.090544,cpu-loader-2-deployment-b5f7754c6-fkcnh,1391m,164Mi,35h
2026-04-22 05:56:42.090581,cpu-loader-2-deployment-b5f7754c6-lqpht,1392m,316Mi,35h
2026-04-22 05:56:42.090594,cpu-loader-2-deployment-b5f7754c6-mgcgg,1390m,236Mi,35h
2026-04-22 05:56:42.090605,cpu-loader-2-deployment-b5f7754c6-mmcfh,641m,0Mi,35h
2026-04-22 05:56:42.090617,cpu-loader-2-deployment-b5f7754c6-zmb9v,234m,1Mi,35h
2026-04-22 05:56:42.090628,cpu-loader-deployment-6df58f49b6-r46b4,233m,0Mi,35h
2026-04-22 05:56:42.090639,ml-pod-1776708350,235m,0Mi,35h
2026-04-22 05:56:42.090649,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:42.090659,ml-pod-1776708980,238m,0Mi,35h
2026-04-22 05:56:42.090668,ml-pod-1776709365,234m,0Mi,35h
2026-04-22 05:56:42.090678,ml-pod-1776709635,225m,0Mi,35h
2026-04-22 05:56:42.090687,ml-pod-1776709823,238m,0Mi,35h
2026-04-22 05:56:42.090697,ml-pod-1776709890,235m,1Mi,35h
2026-04-22 05:56:42.090707,ml-pod-1776710501,232m,0Mi,35h
2026-04-22 05:56:42.090716,ml-pod-1776710648,224m,0Mi,35h
2026-04-22 05:56:42.090726,ml-pod-1776710926,235m,0Mi,35h
2026-04-22 05:56:42.090735,ml-pod-1776710980,237m,0Mi,35h
2026-04-22 05:56:49.019838,cpu-loader-2-deployment-b5f7754c6-fkcnh,1396m,228Mi,35h
2026-04-22 05:56:49.019876,cpu-loader-2-deployment-b5f7754c6-lqpht,1398m,259Mi,35h
2026-04-22 05:56:49.019888,cpu-loader-2-deployment-b5f7754c6-mgcgg,1303m,79Mi,35h
2026-04-22 05:56:49.019901,cpu-loader-2-deployment-b5f7754c6-mmcfh,648m,0Mi,35h
2026-04-22 05:56:49.019913,cpu-loader-2-deployment-b5f7754c6-zmb9v,235m,1Mi,35h
2026-04-22 05:56:49.019924,cpu-loader-deployment-6df58f49b6-r46b4,230m,0Mi,35h
2026-04-22 05:56:49.019934,ml-pod-1776708350,232m,0Mi,35h
2026-04-22 05:56:49.019944,ml-pod-1776708681,238m,0Mi,35h
2026-04-22 05:56:49.019954,ml-pod-1776708980,241m,0Mi,35h
2026-04-22 05:56:49.019964,ml-pod-1776709365,237m,0Mi,35h
2026-04-22 05:56:49.019973,ml-pod-1776709635,236m,0Mi,35h
2026-04-22 05:56:49.019983,ml-pod-1776709823,239m,0Mi,35h
2026-04-22 05:56:49.019992,ml-pod-1776709890,238m,1Mi,35h
